_id,subject,status
033B7F9D29D84F09AF312E83F31AE348_D2394049_grade-02,South Carolina Academic Standards for the Visual and Performing Arts - Instrumental Music - Visual and Performing Arts (2010-2017) - Instrumental Music: Grade 2,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2392807_grade-k,South Carolina Academic Standards for the Visual and Performing Arts - Media Arts - Visual and Performing Arts (2010-2017) - Media Arts: Grade K,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2390545_grade-06,South Carolina Academic Standards for the Visual and Performing Arts - Dance - Visual and Performing Arts (2010-2017) - Dance: Grade 6,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2395769_grade-05,South Carolina Academic Standards for Health and Safety Education - Health & Safety Education (2009-2017) - Grade 5,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2392327_grade-k,South Carolina Academic Standards for the Visual and Performing Arts - Choral Music - Visual and Performing Arts (2010-2017) - Choral Music: Grade K,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2433620_high-school-functions,Common Core State Standards for Mathematics - Common Core Math (2010-2015) - High School — Functions,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2433620_grade-06,Common Core State Standards for Mathematics - Common Core Math (2010-2015) - Grade 6,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2392327_grade-08,South Carolina Academic Standards for the Visual and Performing Arts - Choral Music - Visual and Performing Arts (2010-2017) - Choral Music: Grade 8,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2392327_grades-09-10-11-12,"South Carolina Academic Standards for the Visual and Performing Arts - Choral Music - Visual and Performing Arts (2010-2017) - Choral Music: Grades 9, 10, 11, 12",Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2433620_grade-08,Common Core State Standards for Mathematics - Common Core Math (2010-2015) - Grade 8,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2394049_grade-05,South Carolina Academic Standards for the Visual and Performing Arts - Instrumental Music - Visual and Performing Arts (2010-2017) - Instrumental Music: Grade 5,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2433620_grade-02,Common Core State Standards for Mathematics - Common Core Math (2010-2015) - Grade 2,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2433620_high-school-statistics-and-probability,Common Core State Standards for Mathematics - Common Core Math (2010-2015) - High School — Statistics and Probability,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2392807_grade-08,South Carolina Academic Standards for the Visual and Performing Arts - Media Arts - Visual and Performing Arts (2010-2017) - Media Arts: Grade 8,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2433620_grade-07,Common Core State Standards for Mathematics - Common Core Math (2010-2015) - Grade 7,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2394049_grade-08,South Carolina Academic Standards for the Visual and Performing Arts - Instrumental Music - Visual and Performing Arts (2010-2017) - Instrumental Music: Grade 8,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2390054_grade-06,South Carolina Academic Standards for the Visual and Performing Arts - Visual Arts - Visual and Performing Arts (2010-2017) - Visual Arts: Grade 6,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2390395_grades-09-10-11-12,"South Carolina Academic Standards for the Visual and Performing Arts - Theatre - Visual and Performing Arts (2010-2017) - Theater: Grades 9, 10, 11, 12",Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2390545_grade-k,South Carolina Academic Standards for the Visual and Performing Arts - Dance - Visual and Performing Arts (2010-2017) - Dance: Grade K,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2395769_grade-04,South Carolina Academic Standards for Health and Safety Education - Health & Safety Education (2009-2017) - Grade 4,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2390054_grade-05,South Carolina Academic Standards for the Visual and Performing Arts - Visual Arts - Visual and Performing Arts (2010-2017) - Visual Arts: Grade 5,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2390054_grade-07,South Carolina Academic Standards for the Visual and Performing Arts - Visual Arts - Visual and Performing Arts (2010-2017) - Visual Arts: Grade 7,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2390054_grade-08,South Carolina Academic Standards for the Visual and Performing Arts - Visual Arts - Visual and Performing Arts (2010-2017) - Visual Arts: Grade 8,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2390545_grade-01,South Carolina Academic Standards for the Visual and Performing Arts - Dance - Visual and Performing Arts (2010-2017) - Dance: Grade 1,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2392807_grades-09-10-11-12,"South Carolina Academic Standards for the Visual and Performing Arts - Media Arts - Visual and Performing Arts (2010-2017) - Media Arts: Grades 9, 10, 11, 12",Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2392807_grade-07,South Carolina Academic Standards for the Visual and Performing Arts - Media Arts - Visual and Performing Arts (2010-2017) - Media Arts: rade 7,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2395769_grade-08,South Carolina Academic Standards for Health and Safety Education - Health & Safety Education (2009-2017) - Grade 8,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2390545_grade-02,South Carolina Academic Standards for the Visual and Performing Arts - Dance - Visual and Performing Arts (2010-2017) - Dance: Grade 2,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2390545_grade-03,South Carolina Academic Standards for the Visual and Performing Arts - Dance - Visual and Performing Arts (2010-2017) - Dance: Grade 3,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2395769_grade-k,South Carolina Academic Standards for Health and Safety Education - Health & Safety Education (2009-2017) - Grade K,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2394049_grade-07,South Carolina Academic Standards for the Visual and Performing Arts - Instrumental Music - Visual and Performing Arts (2010-2017) - Instrumental Music: Grade 7,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2390054_grade-k,South Carolina Academic Standards for the Visual and Performing Arts - Visual Arts - Visual and Performing Arts (2010-2017) - Visual Arts: Grade K,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2390545_grades-09-10-11-12,"South Carolina Academic Standards for the Visual and Performing Arts - Dance - Visual and Performing Arts (2010-2017) - Dance: Grades 9, 10, 11, 12",Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2392327_grade-02,South Carolina Academic Standards for the Visual and Performing Arts - Choral Music - Visual and Performing Arts (2010-2017) - Choral Music: Grade 2,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2390395_grade-04,South Carolina Academic Standards for the Visual and Performing Arts - Theatre - Visual and Performing Arts (2010-2017) - Theater: Grade 4,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2390054_grades-09-10-11-12,"South Carolina Academic Standards for the Visual and Performing Arts - Visual Arts - Visual and Performing Arts (2010-2017) - Visual Arts: Grades 9, 10, 11, 12",Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2394049_grade-k,South Carolina Academic Standards for the Visual and Performing Arts - Instrumental Music - Visual and Performing Arts (2010-2017) - Instrumental Music: Grade K,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2531670_grades-10-11-12,"Web Page Design and Development 1 - CTE (2008-) - Web Page Design and Development 1 (2008): Grades 10, 11, 12",Published
033B7F9D29D84F09AF312E83F31AE348_D2395769_grade-01,South Carolina Academic Standards for Health and Safety Education - Health & Safety Education (2009-2017) - Grade 1,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2532626_grades-09-10-11-12,"Child Development I - CTE (2008-) - Child Development I (2012): Grades 9, 10, 11, 12",Published
033B7F9D29D84F09AF312E83F31AE348_D2390395_grade-02,South Carolina Academic Standards for the Visual and Performing Arts - Theatre - Visual and Performing Arts (2010-2017) - Theater: Grade 2,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2535169_grade-08,South Carolina Academic Standards and Performance Indicators for Science - Science (2014-2021) - Grade 8,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2433620_grade-01,Common Core State Standards for Mathematics - Common Core Math (2010-2015) - Grade 1,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2433620_high-school-number-and-quantity,Common Core State Standards for Mathematics - Common Core Math (2010-2015) - High School — Number and Quantity,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2434324_grade-05,"Common Core State Standards for English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects - Common Core English/Language Arts (2010-2015) - Grade 5",Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2531526_grades-09-10-11-12,"Introduction to Emergency Medical Services (EMS) - CTE (2008-) - Emergency Medical Services (EMS) (2009): Grades 9, 10, 11, 12",Published
033B7F9D29D84F09AF312E83F31AE348_D2390395_grade-06,South Carolina Academic Standards for the Visual and Performing Arts - Theatre - Visual and Performing Arts (2010-2017) - Theater: Grade 6,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2390395_grade-05,South Carolina Academic Standards for the Visual and Performing Arts - Theatre - Visual and Performing Arts (2010-2017) - Theater: Grade 5,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2434324_grade-02,"Common Core State Standards for English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects - Common Core English/Language Arts (2010-2015) - Grade 2",Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2434324_grade-08,"Common Core State Standards for English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects - Common Core English/Language Arts (2010-2015) - Grade 8",Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2392327_grade-03,South Carolina Academic Standards for the Visual and Performing Arts - Choral Music - Visual and Performing Arts (2010-2017) - Choral Music: Grade 3,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2433620_grade-04,Common Core State Standards for Mathematics - Common Core Math (2010-2015) - Grade 4,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2392327_grade-01,South Carolina Academic Standards for the Visual and Performing Arts - Choral Music - Visual and Performing Arts (2010-2017) - Choral Music: Grade 1,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2394049_grade-01,South Carolina Academic Standards for the Visual and Performing Arts - Instrumental Music - Visual and Performing Arts (2010-2017) - Instrumental Music: Grade 1,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2434324_grade-04,"Common Core State Standards for English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects - Common Core English/Language Arts (2010-2015) - Grade 4",Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2394049_grades-09-10-11-12,"South Carolina Academic Standards for the Visual and Performing Arts - Instrumental Music - Visual and Performing Arts (2010-2017) - Instrumental Music: Grades 9, 10, 11, 12",Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2531088_grades-09-10-11-12,"Entrepreneurship - CTE (2008-) - Entrepreneurship (2011): Grades 9, 10, 11, 12",Published
033B7F9D29D84F09AF312E83F31AE348_D2434324_grade-06,"Common Core State Standards for English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects - Common Core English/Language Arts (2010-2015) - Grade 6",Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2535169_grade-03,South Carolina Academic Standards and Performance Indicators for Science - Science (2014-2021) - Grade 3,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2535169_grade-04,South Carolina Academic Standards and Performance Indicators for Science - Science (2014-2021) - Grade 4,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2535169_grades-09-10-11-12,"South Carolina Academic Standards and Performance Indicators for Science - Science (2014-2021) - Grades 9, 10, 11, 12",Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2530653_grades-10-11-12,"Accounting 1 - CTE (2008-) - Accounting 1 (2008): Grades 10, 11, 12",Published
033B7F9D29D84F09AF312E83F31AE348_D2535169_grade-02,South Carolina Academic Standards and Performance Indicators for Science - Science (2014-2021) - Grade 2,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2619353_grade-k,South Carolina College- and Career-Ready Standards for Mathematics - Mathematics (2015-2023) - Grade K,Published
033B7F9D29D84F09AF312E83F31AE348_D2619353_grade-07,South Carolina College- and Career-Ready Standards for Mathematics - Mathematics (2015-2023) - Grade 7,Published
033B7F9D29D84F09AF312E83F31AE348_D2635196_grade-04,South Carolina College- and Career-Ready Standards for English Language Arts - English Language Arts (2015-2023) - Grade 4,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2392807_grade-03,South Carolina Academic Standards for the Visual and Performing Arts - Media Arts - Visual and Performing Arts (2010-2017) - Media Arts: Grade 3,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2394049_grade-06,South Carolina Academic Standards for the Visual and Performing Arts - Instrumental Music - Visual and Performing Arts (2010-2017) - Instrumental Music: Grade 6,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2395769_grade-07,South Carolina Academic Standards for Health and Safety Education - Health & Safety Education (2009-2017) - Grade 7,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2530359_professionaleducation-development,South Carolina Standards for Professional Development - Professional Development (2000-) - Professional Education & Further Development,Published
033B7F9D29D84F09AF312E83F31AE348_D2530985_grades-07-08-09-10-11-12,"Computer Applications - CTE (2008-) - Computer Applications (2012): Grades 7, 8, 9, 10, 11, 12",Published
033B7F9D29D84F09AF312E83F31AE348_D2392807_grade-04,South Carolina Academic Standards for the Visual and Performing Arts - Media Arts - Visual and Performing Arts (2010-2017) - Media Arts: Grade 4,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2433620_high-school-geometry,Common Core State Standards for Mathematics - Common Core Math (2010-2015) - High School — Geometry,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2530590_grades-10-11-12,"Digital Desktop Publishing - CTE (2008-) - Digital Desktop Publishing (2008): Grades 10, 11, 12",Published
033B7F9D29D84F09AF312E83F31AE348_D2619353_grade-03,South Carolina College- and Career-Ready Standards for Mathematics - Mathematics (2015-2023) - Grade 3,Published
